scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os
WorstCaseCross,1000000,run_5,3891888.7329404745,256.944653,120,200,280,28681,111681,100000,10,1816,6832,6360,true,linux
WorstCaseCross,1000000,run_6,3910946.7261983156,255.69256499999997,120,200,280,94920,406323,100000,10,1820,6836,6364,true,linux
WorstCaseCross,1000000,run_7,3898238.9666485777,256.52609,120,200,280,22600,119361,100000,10,1820,6836,6364,true,linux
WorstCaseCross,1000000,run_8,3912348.893446497,255.60092600000002,120,200,280,22280,122760,100000,10,1820,6836,6364,true,linux
WorstCaseCross,1000000,run_9,3910396.08910338,255.72857,120,200,280,24520,118041,100000,10,1812,6828,6356,true,linux
WorstCaseCross,1000000,mean,3897418.921136214,256.5817801,120,200,280,31776.1,213393.3,100000,10,1818,6834,6362,true,linux
WorstCaseCross,1000000,stddev,10079.561444978255,0.6631834300953974,0,0,0,21141.32457747149,193405.05827462216,0,0,3.22490309931942,3.22490309931942,3.22490309931942,true,linux
WorstCaseCross,10000000,run_0,3905067.393051689,2560.775268,120,200,320,19880,117441,100000,100,1816,6864,6803,true,linux
WorstCaseCross,10000000,run_1,3891043.9779669745,2570.004363,120,200,280,24480,127160,100000,100,1816,6864,6803,true,linux
WorstCaseCross,10000000,run_2,3850591.532934817,2597.003581,120,200,360,25680,131841,100000,100,1820,6868,6807,true,linux
WorstCaseCross,10000000,run_3,3917256.8997091125,2552.8067869999995,120,200,280,31401,119361,100000,100,1812,6860,6799,true,linux
WorstCaseCross,10000000,run_4,3893271.9634485864,2568.533638,120,200,280,24880,132761,100000,100,1820,6868,6807,true,linux
WorstCaseCross,10000000,run_5,3902806.200397577,2562.25892,120,200,280,22360,117320,100000,100,1820,6868,6807,true,linux
WorstCaseCross,10000000,run_6,3915712.5150783127,2553.813632,120,200,280,26520,118161,100000,100,1820,6868,6807,true,linux
WorstCaseCross,10000000,run_7,3912002.8125453754,2556.235381,120,200,320,25240,123041,100000,100,1816,6864,6803,true,linux
WorstCaseCross,10000000,run_8,3835327.5911138477,2607.339207,120,200,360,30000,132321,100000,100,1800,6848,6787,true,linux
WorstCaseCross,10000000,run_9,3911048.0340065374,2556.859418,120,200,280,28881,126681,100000,100,1816,6864,6803,true,linux
WorstCaseCross,10000000,mean,3893412.892025283,2568.5630195000003,120,200,304,25932.2,124608.8,100000,100,1815.6,6863.6,6802.6,true,linux
WorstCaseCross,10000000,stddev,26757.536313595097,17.803582749088278,0,0,32,3296.121866679083,6042.509690517674,0,0,5.782732917920384,5.782732917920384,5.782732917920384,true,linux
