scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os
ActiveFill,1000000,run_2,13800711.352146363,72.460033,80,160,240,1080,25440,100000,10,1812,20580,13274,true,linux
ActiveFill,1000000,run_3,13818019.529310998,72.369271,80,160,240,1120,37481,100000,10,1816,20584,13276,true,linux
ActiveFill,1000000,run_4,13805184.793925796,72.436553,80,160,240,1160,36920,100000,10,1816,20576,13272,true,linux
ActiveFill,1000000,run_5,13733404.433914768,72.815157,80,160,240,1120,390322,100000,10,1816,20612,13284,true,linux
ActiveFill,1000000,run_6,13761504.376832707,72.666474,80,160,240,1080,761884,100000,10,1800,20556,11382,true,linux
ActiveFill,1000000,run_7,13776686.578479158,72.586394,80,160,240,1120,777364,100000,10,1816,15896,10927,true,linux
ActiveFill,1000000,run_8,13842049.699713342,72.243636,80,160,240,1080,107761,100000,10,1816,20596,13275,true,linux
ActiveFill,1000000,run_9,13702738.142798016,72.978115,80,160,240,1120,29440,100000,10,1800,20572,13257,true,linux
ActiveFill,1000000,mean,13779164.018912379,72.57423400000002,80,160,240,1040,223381.3,100000,10,1812.8,20115.6,12850.1,true,linux
ActiveFill,1000000,stddev,48250.83542170827,0.25437655917910584,0,0,0,228.38563877792316,292623.67895679595,0,0,6.64529909033446,1406.6111900592857,853.9130459244665,true,linux
ActiveFill,10000000,run_0,14120004.195843967,708.215087,80,160,240,1160,28600,100000,100,1816,105008,56648,true,linux
ActiveFill,10000000,run_1,14064367.284290746,711.016699,80,160,240,1200,32040,100000,100,1804,104876,56578,true,linux
ActiveFill,10000000,run_2,14082083.991612673,710.122167,80,160,240,1160,34440,100000,100,1816,104888,56600,true,linux
ActiveFill,10000000,run_3,14100677.85850253,709.185764,80,160,240,1160,24720,100000,100,1816,104972,56645,true,linux
ActiveFill,10000000,run_4,14110533.185376303,708.690442,80,160,240,1160,32680,100000,100,1816,104924,56615,true,linux
ActiveFill,10000000,run_5,14120986.103875067,708.165841,80,160,240,1160,28760,100000,100,1816,105056,56695,true,linux
ActiveFill,10000000,run_6,14120582.385685045,708.186088,80,160,240,1160,32720,100000,100,1816,105016,56454,true,linux
ActiveFill,10000000,run_7,14104547.219985986,708.99121,80,160,240,1200,765844,100000,100,1816,105000,55334,true,linux
ActiveFill,10000000,run_8,14135294.598296963,707.4489980000001,80,160,240,1160,31841,100000,100,1820,104940,56623,true,linux
ActiveFill,10000000,run_9,14131658.175617456,707.6310420000001,80,160,240,1240,15960,100000,100,1800,104916,56594,true,linux
ActiveFill,10000000,mean,14109073.499908675,708.7653338,80,160,240,1176,102760.5,100000,100,1813.6,104959.6,56478.6,true,linux
ActiveFill,10000000,stddev,21003.909720389664,1.0564127351460284,0,0,0,26.5329983228432,221087.2749876166,0,0,5.986651818838306,56.8070418170142,386.176177411295,true,linux
DeepSweepCross,1000000,run_0,3860053.4979482484,259.063767,120,200,280,98281,628363,100000,10,1816,6832,6360,true,linux
DeepSweepCross,1000000,run_1,3853338.0689316867,259.515252,120,200,280,97521,142761,100000,10,1820,6836,6364,true,linux
DeepSweepCross,1000000,run_2,3857231.682025064,259.253289,120,200,280,36400,132841,100000,10,1816,6832,6360,true,linux
DeepSweepCross,1000000,run_3,3838686.4936103625,260.50577499999997,120,200,280,29640,143121,100000,10,1812,6828,6356,true,linux
DeepSweepCross,1000000,run_4,3873881.2855510684,258.139041,120,200,280,38801,132320,100000,10,1816,6832,6360,true,linux
DeepSweepCross,1000000,run_5,3859901.4940015064,259.07396900000003,120,200,280,30161,131641,100000,10,1812,6828,6356,true,linux
DeepSweepCross,1000000,run_6,3877094.8525052317,257.92508,120,200,280,31961,126600,100000,10,1820,6836,6364,true,linux
DeepSweepCross,1000000,run_7,3869811.447268345,258.410523,120,200,280,34600,129241,100000,10,1816,6832,6360,true,linux
DeepSweepCross,1000000,run_8,3849812.219056825,259.752929,120,200,280,89960,124281,100000,10,1816,6832,6360,true,linux
DeepSweepCross,1000000,run_9,3852961.584701523,259.54061,120,200,280,25520,133080,100000,10,1804,6820,6348,true,linux
DeepSweepCross,1000000,mean,3859277.262559986,259.1180235,120,200,280,51284.5,182424.9,100000,10,1814.8,6830.8,6358.8,true,linux
DeepSweepCross,1000000,stddev,11115.83678661237,0.7463637357299988,0,0,0,29068.76612878503,148757.33868784423,0,0,4.4,4.3999999999999995,4.3999999999999995,true,linux
DeepSweepCross,10000000,run_0,3847581.3787566703,2599.035346,120,200,280,34641,130040,100000,100,1800,6848,6787,true,linux
DeepSweepCross,10000000,run_1,3855531.786613348,2593.675932,120,200,280,18160,128640,100000,100,1808,6856,6795,true,linux
DeepSweepCross,10000000,run_2,3841905.847902508,2602.8748219999998,120,200,280,36800,129921,100000,100,1800,6848,6787,true,linux
DeepSweepCross,10000000,run_3,3854408.655275065,2594.4317,120,200,280,33240,134800,100000,100,1816,6864,6803,true,linux
DeepSweepCross,10000000,run_4,3867326.028222601,2585.7659599999997,120,200,280,36560,135321,100000,100,1816,6864,6803,true,linux
DeepSweepCross,10000000,run_5,3866537.734903743,2586.293135,120,200,280,29800,132921,100000,100,1816,6864,6803,true,linux
DeepSweepCross,10000000,run_6,3852078.1081964285,2596.001358,120,200,280,21400,126081,100000,100,1816,6864,6803,true,linux
DeepSweepCross,10000000,run_7,3865379.9113287646,2587.067825,120,200,280,22120,136081,100000,100,1816,6864,6803,true,linux
DeepSweepCross,10000000,run_8,3873789.0955109326,2581.451843,120,200,280,34040,143441,100000,100,1808,6856,6795,true,linux
DeepSweepCross,10000000,run_9,3852722.4964742702,2595.567163,120,200,280,23800,127680,100000,100,1816,6864,6803,true,linux
DeepSweepCross,10000000,mean,3857726.1043184334,2592.2165084000003,120,200,280,29056.1,132492.6,100000,100,1811.2,6859.2,6798.2,true,linux
DeepSweepCross,10000000,stddev,9551.734084066327,6.416915519524598,0,0,0,6659.1456576651035,4878.444202817123,0,0,6.4,6.399999999999999,6.399999999999999,true,linux
BookGrowthWorst,1000000,run_0,4148707.740599161,241.03891199999998,120,280,560,1000,37480,100000,10,1816,287376,160513,true,linux
BookGrowthWorst,1000000,run_1,5386415.814818472,185.65221000000003,120,280,560,880,644283,100000,10,1816,287376,160513,true,linux
BookGrowthWorst,1000000,run_2,5346076.669368574,187.05306,120,280,560,920,35121,100000,10,1812,287372,160509,true,linux
BookGrowthWorst,1000000,run_3,5383970.45121958,185.736532,120,280,560,920,49720,100000,10,1816,287376,160513,true,linux
BookGrowthWorst,1000000,run_4,5354437.556252048,186.760979,120,280,560,920,32841,100000,10,1816,287376,160513,true,linux
BookGrowthWorst,1000000,run_5,5349529.197029569,186.93233800000002,120,280,560,880,56081,100000,10,1816,287376,160513,true,linux
BookGrowthWorst,1000000,run_6,5326986.917378252,187.723382,120,280,560,880,23880,100000,10,1816,287376,160513,true,linux
BookGrowthWorst,1000000,run_7,5324512.4761899775,187.81062200000002,120,280,560,960,594443,100000,10,1804,287364,160501,true,linux
BookGrowthWorst,1000000,run_8,5353855.102526673,186.78129700000002,120,280,560,920,34921,100000,10,1816,287376,160513,true,linux
BookGrowthWorst,1000000,run_9,5343211.1211288,187.153376,120,280,560,960,35921,100000,10,1800,287360,160497,true,linux
BookGrowthWorst,1000000,mean,5231770.30465111,192.2642708,120,280,560,924,154469.1,100000,10,1812.8,287372.8,160509.8,true,linux
BookGrowthWorst,1000000,stddev,361535.0687853292,16.27208560126887,0,0,0,37.73592452822641,232866.91648984834,0,0,5.6000000000000005,5.6,5.6,true,linux
BookGrowthWorst,10000000,run_0,3969710.1051790016,2519.075634,120,280,600,1200,40280,100000,100,1816,2815280,1424887,true,linux
BookGrowthWorst,10000000,run_1,4948331.8813236905,2020.8830450000003,120,280,720,1960,58081,100000,100,1816,2815280,1424887,true,linux
BookGrowthWorst,10000000,run_2,4988026.952095335,2004.800715,120,280,560,1080,28240,100000,100,1816,2815280,1424887,true,linux
BookGrowthWorst,10000000,run_3,4929808.674204231,2028.4762879999998,120,280,680,1960,30800,100000,100,1816,2815280,1424887,true,linux
BookGrowthWorst,10000000,run_4,4974502.112442966,2010.2514330000001,120,280,560,1040,29521,100000,100,1816,2815280,1424887,true,linux
BookGrowthWorst,10000000,run_5,4988913.519138303,2004.444447,120,280,560,960,26480,100000,100,1816,2815280,1424887,true,linux
BookGrowthWorst,10000000,run_6,4994206.538127234,2002.3200729999999,120,280,560,1040,35240,100000,100,1804,2815268,1424875,true,linux
BookGrowthWorst,10000000,run_7,4968237.217353253,2012.7863389999998,120,280,560,1040,27200,100000,100,1816,2815280,1424887,true,linux
BookGrowthWorst,10000000,run_8,5001885.645863977,1999.246026,120,280,560,1160,26281,100000,100,1816,2815280,1424887,true,linux
BookGrowthWorst,10000000,run_9,4946710.02779872,2021.545622,120,280,600,1000,30200,100000,100,1800,2815264,1424871,true,linux
BookGrowthWorst,10000000,mean,4871033.267352672,2062.3829622000003,120,280,596,1244,33232.3,100000,100,1813.2,2815277.2,1424884.2,true,linux
BookGrowthWorst,10000000,stddev,301259.31095003075,152.4964661855726,0,0,54.99090833947008,364.17578173184444,9248.077260166028,0,0,5.670978751503131,5.670978751503131,5.670978751503131,true,linux
