scenario,scale,row_type,ops_sec,submit_elapsed_ms,p50_ns,p90_ns,p99_ns,p999_ns,max_ns,latency_sample_count,latency_sample_stride,baseline_rss_kb,peak_rss_kb,avg_rss_kb,rss_supported,target_os,gc_count,gc_time_ms,jit_compile_ms,alloc_bytes,heap_used_peak_kb,heap_used_avg_kb
ThinBook,10000000,run_9,4226926.139599313,2365.785365,240,360,560,2560,39000,100000,100,44100,840460,501923,true,linux,5,848,1,392581600,1510542,1240984.24
ThinBook,10000000,mean,4015064.4551022584,2502.4331515999997,240,368,552,3304,55452.3,100000,100,44147.2,881936.4,504161.1,true,linux,7.3,773.8,1.7,392581600,1169652.4,828380.1780000001
ThinBook,10000000,stddev,283775.14246002916,167.40721307037091,0,16,24,531.9248067161373,32570.566482792405,0,0,94.99136802888985,52140.17523407454,2984.7371559318253,true,linux,2.238302928559939,59.13509956024426,3.2264531609803355,0,267012.9628685469,217693.2362281857
ActiveFill,1000000,run_0,11213394.085259808,89.179065,80,160,280,560,24321,100000,10,44132,139268,116632,true,linux,1,8,39,122275568,172174,118516.4
ActiveFill,1000000,run_1,8949575.122500889,111.737148,80,160,320,1360,51040,100000,10,44056,138688,116588,true,linux,1,10,0,122557160,168032,99784.8
ActiveFill,1000000,run_2,9712806.115353676,102.956858,80,160,1160,3400,1325168,100000,10,44196,138432,116075,true,linux,5,28,0,122436568,82574,64691.6
ActiveFill,1000000,run_3,12325912.661417842,81.129895,80,160,280,600,1344848,100000,10,44100,138180,115796,true,linux,5,18,0,122481088,81752,55479.3
ActiveFill,1000000,run_4,8081454.597175854,123.7401,80,160,280,640,25880,100000,10,44316,139124,116763,true,linux,9,41,1,122411760,66702,44219
ActiveFill,1000000,run_5,9113243.330577672,109.730418,80,160,1000,1960,109121,100000,10,44296,138084,115665,true,linux,2,16,0,122321576,121685,67497.7
ActiveFill,1000000,run_6,9476869.775508307,105.520074,80,160,1240,2160,176841,100000,10,44300,138600,116189,true,linux,5,27,44,122466984,92673,65167.4
ActiveFill,1000000,run_7,9161974.697264535,109.146776,80,160,280,600,72320,100000,10,44148,137964,115722,true,linux,4,29,1,122405040,119297,81165.4
ActiveFill,1000000,run_8,9872622.632979488,101.290208,80,160,600,2000,2076172,100000,10,44168,138228,116020,true,linux,1,7,0,122548592,176057,109031.4
ActiveFill,1000000,run_9,8225080.039076368,121.579364,80,160,1200,3240,31160,100000,10,44064,139128,116596,true,linux,5,26,1,122399048,72695,55288.2
ActiveFill,1000000,mean,9613293.305711444,105.6009906,80,160,664,1652,523687.1,100000,10,44177.6,138569.6,116204.6,true,linux,3.8,21,8.6,122430338.4,115364.1,76084.12
ActiveFill,1000000,stddev,1232165.5061653536,12.43265012107463,0,0,411.1252850409471,1027.937741305377,720134.8752012292,0,0,92.33330926594151,448.536107799584,392.02198917917855,true,linux,2.4413111231467406,10.459445491994305,16.49363513601535,84718.50650619381,40802.97052041677,23808.96669054749
ActiveFill,10000000,run_0,9643529.25551684,1036.96476,80,160,440,1840,53600,100000,100,44168,954568,452973,true,linux,18,230,0,1216785880,342771,162025.63
ActiveFill,10000000,run_1,9770315.12337083,1023.508441,80,160,320,1520,560883,100000,100,44084,934528,451690,true,linux,21,249,3,1217981544,411155,195093.17
ActiveFill,10000000,run_2,9805249.862755181,1019.861823,80,160,520,1720,224601,100000,100,44120,930324,451131,true,linux,22,273,0,1217317248,335097,173462.34
ActiveFill,10000000,run_3,9035844.66991941,1106.703398,80,160,960,1560,3746542,100000,100,44236,974188,452046,true,linux,8,247,1,1218019360,661473,324884.94
ActiveFill,10000000,run_4,9489945.286716893,1053.746855,80,160,400,1600,3135498,100000,100,44132,924664,450628,true,linux,9,295,1,1217271952,785550,441187.09
ActiveFill,10000000,run_5,9247744.738156702,1081.344726,80,160,360,1640,47280,100000,100,44272,921712,450789,true,linux,11,250,0,1217251016,669696,283983.16
ActiveFill,10000000,run_6,10031902.875674855,996.819858,80,160,920,1600,1340408,100000,100,44068,933928,450921,true,linux,12,218,0,1217729168,559104,238481.07
ActiveFill,10000000,run_7,9897853.312497495,1010.320085,80,160,400,1640,41000,100000,100,44112,927292,452008,true,linux,11,274,1,1217689096,757760,318068.81
ActiveFill,10000000,run_8,10618753.187265227,941.730147,80,160,841,1760,389242,100000,100,44212,925244,450263,true,linux,13,284,0,1217586592,529349,274042.54
ActiveFill,10000000,run_9,9876636.669684872,1012.490419,80,160,480,1520,144361,100000,100,44072,944528,452745,true,linux,8,227,0,1217714488,690176,337858.56
ActiveFill,10000000,mean,9741777.49815583,1028.3490512,80,160,564.1,1640,968341.5,100000,100,44147.6,937097.6,451519.4,true,linux,13.3,254.7,0.6,1217534634.4,574213.1,274908.731
ActiveFill,10000000,stddev,414262.06595489965,43.400637163210284,0,0,232.29139028384157,99.59919678390986,1297379.6593975297,0,0,67.98705759186818,15577.622021348445,870.3876377798573,true,linux,4.94064773081425,24.552189311749775,0.9165151389911681,358994.0324593711,157512.6628550543,81722.79123883453
DeepSweepCross,1000000,run_0,3164420.5815066467,316.013619,200,240,280,33040,164881,100000,10,44152,175472,134843,true,linux,0,0,0,246777712,872448,738304
DeepSweepCross,1000000,run_1,3165985.4927516235,315.857417,200,240,280,34760,179401,100000,10,44056,175852,135221,true,linux,0,0,0,246777712,719872,584704
DeepSweepCross,1000000,run_2,3094315.8167271153,323.173218,200,240,280,32720,166681,100000,10,44160,175796,135155,true,linux,1,7,1,246777712,1139712,685260.8
DeepSweepCross,1000000,run_3,3159120.635267316,316.543784,200,240,280,38120,165721,100000,10,44156,175840,135206,true,linux,0,0,0,246777712,1088512,953753.6
DeepSweepCross,1000000,run_4,3174013.745136352,315.058497,200,240,280,29440,173841,100000,10,44156,175880,135235,true,linux,0,0,0,246777712,856064,720281.6
DeepSweepCross,1000000,run_5,3111329.508466035,321.406009,200,240,280,38040,171441,100000,10,43824,175640,135004,true,linux,1,5,0,246777712,625664,491110.4
DeepSweepCross,1000000,run_6,3157535.0038646967,316.702744,200,240,280,27961,176121,100000,10,44240,175836,135198,true,linux,1,3,0,246777712,1164288,922798.6
DeepSweepCross,1000000,run_7,3164517.0951184947,316.003981,200,240,280,26961,311481,100000,10,44156,175676,135045,true,linux,0,0,0,246777712,988009,853660.2
DeepSweepCross,1000000,run_8,3184235.44639378,314.047129,200,240,280,22080,163801,100000,10,44248,175348,134715,true,linux,0,0,0,246777712,756736,621568
DeepSweepCross,1000000,run_9,3091774.802469445,323.438822,200,240,280,27520,171401,100000,10,44160,175780,135143,true,linux,1,6,1,246777712,1145856,638483.5
DeepSweepCross,1000000,mean,3146724.81277015,317.824522,200,240,280,31064.2,184477,100000,10,44130.8,175712,135076.5,true,linux,0.4,2.1,0.2,246777712,935716.1,720992.47
DeepSweepCross,1000000,stddev,32314.027158758832,3.289946377886764,0,0,0,4910.517545025168,42614.12141532428,0,0,113.77240438700413,169.65848048358797,167.2042164540117,true,linux,0.4898979485566356,2.7367864366808017,0.4000000000000001,0,186869.34436469243,142195.0770960658
DeepSweepCross,10000000,run_0,3150375.527645489,3174.224759,200,240,280,26841,5948394,100000,100,44112,329616,292317,true,linux,4,22,1,2467777120,1166278,750699.69
DeepSweepCross,10000000,run_1,3160563.347192818,3163.992903,200,240,280,27201,174321,100000,100,44088,391152,299926,true,linux,4,10,2,2467777120,1168554,752017.67
DeepSweepCross,10000000,run_2,3168971.4174312446,3155.598042,200,240,280,35160,169881,100000,100,44152,321476,286078,true,linux,4,10,0,2467777120,1169805,737296.65
DeepSweepCross,10000000,run_3,3171550.070349278,3153.032359,200,240,280,139681,623123,100000,100,43680,399344,295291,true,linux,3,6,2,2467777120,1167331,748047.27
DeepSweepCross,10000000,run_4,3157026.541582745,3167.537513,200,240,280,38760,169561,100000,100,44168,395836,302945,true,linux,3,7,1,2467777120,1169053,767591.55
DeepSweepCross,10000000,run_5,3166716.283727415,3157.845258,200,240,280,27161,165361,100000,100,44308,323972,281756,true,linux,3,8,1,2467777120,1169313,786711.95
DeepSweepCross,10000000,run_6,3172430.216008918,3152.157595,200,240,280,41441,186001,100000,100,44160,404048,307148,true,linux,4,9,0,2467777120,1166962,780430.42
DeepSweepCross,10000000,run_7,3173206.1318200105,3151.386826,200,240,280,34880,176121,100000,100,43840,385052,296736,true,linux,4,10,0,2467777120,1168417,766154.25
DeepSweepCross,10000000,run_8,3160005.203530009,3164.551751,200,240,280,139001,777445,100000,100,44316,332108,290989,true,linux,4,10,0,2467777120,1169046,751787.32
DeepSweepCross,10000000,run_9,3169879.7870480465,3154.693765,200,240,280,25440,176481,100000,100,44108,387696,282778,true,linux,4,12,0,2467777120,1169449,737389.45
DeepSweepCross,10000000,mean,3165072.4526335974,3159.5020771,200,240,280,53556.6,856668.9,100000,100,44093.2,367030,293596.4,true,linux,3.7,10.4,0.7,2467777120,1168420.8,757812.6220000001
DeepSweepCross,10000000,stddev,7280.198182014202,7.278424905581974,0,0,0,43205.0309690897,1710245.0473065225,0,0,185.67110706838585,33356.51546549789,8037.595202546592,true,linux,0.45825756949558405,4.2,0.7810249675906655,0,1117.357937278829,16018.11109831731
BookGrowthWorst,1000000,run_0,2282600.833829063,438.096747,440,520,560,920,35760,100000,10,44172,318844,203586,true,linux,0,0,0,176000560,791261,687427.4
BookGrowthWorst,1000000,run_1,1870044.3007884724,534.74669,440,520,560,920,36440,100000,10,44120,317712,203021,true,linux,1,85,0,176000560,1161949,865719.8
BookGrowthWorst,1000000,run_2,2232573.8186412104,447.913521,480,560,640,920,26840,100000,10,44080,318756,203556,true,linux,0,0,3,176000560,1004544,901120
BookGrowthWorst,1000000,run_3,2268196.2311460897,440.878962,440,520,560,2040,621523,100000,10,44208,317744,203035,true,linux,0,0,0,176000560,972800,869376
BookGrowthWorst,1000000,run_4,1679241.8624665616,595.506831,440,520,560,920,37440,100000,10,44132,318796,203566,true,linux,1,122,2,176000560,1273856,998195.2
BookGrowthWorst,1000000,run_5,1867497.423642573,535.475973,480,520,600,1640,31440,100000,10,44104,317964,203138,true,linux,1,69,0,176000560,1284096,1038950.4
BookGrowthWorst,1000000,run_6,1525064.2246484265,655.71009,480,680,2360,2600,144681,100000,10,44120,318560,203442,true,linux,1,174,0,176000560,1282048,1160396.8
BookGrowthWorst,1000000,run_7,1662103.1187789352,601.647388,480,640,720,1120,155841,100000,10,43772,317756,203025,true,linux,1,92,2,176000560,864256,762265.6
BookGrowthWorst,1000000,run_8,2109199.0209570606,474.113628,520,640,1440,4360,38841,100000,10,44072,318684,203526,true,linux,1,156,0,176000560,1257472,1170636.8
BookGrowthWorst,1000000,run_9,1416915.7721489656,705.758253,440,480,600,2321,45834138,100000,10,44220,318568,203456,true,linux,3,247,0,176000560,1656832,1571430.4
BookGrowthWorst,1000000,mean,1891343.6607047361,542.9848082999999,464,560,860,1776.1,4696294.4,100000,10,44100,318338.4,203335.1,true,linux,0.9,94.5,0.7,176000560,1154911.4,1002551.8400000001
BookGrowthWorst,1000000,stddev,302787.41146155674,89.85276409593632,26.5329983228432,64.4980619863884,561.2129720524998,1053.685384733033,13713698.009742605,0,0,119.10331649454604,456.6984125218742,234.79329206772496,true,linux,0.8306623862918074,78.51910595517501,1.1,0,241244.64324796936,241230.66890429665
BookGrowthWorst,10000000,run_0,1195428.8160559328,8365.199053,680,760,2360,7480,40240,100000,100,44136,2228516,1243871,true,linux,16,1624,0,1760005600,2095104,1446338.56
BookGrowthWorst,10000000,run_1,1126163.3207134774,8879.706714,680,720,2400,6200,66000,100000,100,44036,2359652,1287945,true,linux,15,3156,0,1760005600,3037139,2272239.81
BookGrowthWorst,10000000,run_2,1175572.3831662647,8506.49449,680,760,2440,6480,49360,100000,100,44052,2189084,1244945,true,linux,12,2366,0,1760005600,3010567,2003546.29
BookGrowthWorst,10000000,run_3,1135372.8816028277,8807.6791,680,720,2400,5920,35000,100000,100,44116,2269544,1244208,true,linux,12,2599,0,1760005600,2970484,1962622.25
BookGrowthWorst,10000000,run_4,1120093.0502874728,8927.829699,680,760,2400,6080,40560,100000,100,44200,2228672,1245081,true,linux,12,2483,0,1760005600,3028418,2004816.34
BookGrowthWorst,10000000,run_5,996370.3453853137,10036.42877,680,720,2320,5880,37640,100000,100,44064,2244336,1247194,true,linux,16,3594,3,1760005600,3032790,2522019.14
BookGrowthWorst,10000000,run_6,1099612.2528250795,9094.114743,680,760,2400,6120,43400,100000,100,44188,2209684,1241476,true,linux,13,2617,0,1760005600,3028050,1963539.49
BookGrowthWorst,10000000,run_7,1278850.004221273,7819.525329,680,720,2360,5960,108121,100000,100,44140,2307920,1250480,true,linux,14,2545,0,1760005600,3049597,2024885.84
BookGrowthWorst,10000000,run_8,1231020.5807786796,8123.341036,680,720,2320,5920,642804,100000,100,44160,2279380,1249359,true,linux,13,2610,0,1760005600,3045397,2005144.25
BookGrowthWorst,10000000,run_9,1233114.2709653617,8109.548511,680,720,2360,7440,742364,100000,100,44084,2339044,1267762,true,linux,13,2508,0,1760005600,3047400,2024786.36
BookGrowthWorst,10000000,mean,1159159.7906001683,8666.9867445,680,736,2376,6348,180548.9,100000,100,44117.6,2265583.2,1252232.1,true,linux,13.6,2610.2,0.3,1760005600,2934494.6,2022993.8329999999
BookGrowthWorst,10000000,stddev,77311.6472220127,602.6778098897778,0,19.595917942265423,36.66060555964672,580.7719001466927,257797.30391160026,0,0,54.176009450678436,53299.69812447346,13811.31401750029,true,linux,1.4966629547095764,482.60041442170353,0.9000000000000001,0,280664.6463187696,255322.28526484533
